flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FR 1812,RYR994W,Departed,Ryanair,FR,RYR,9H-VVH,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:05:00,2025-05-04 18:05:00,London,LTN,EGGW,Europe/London,2025-05-04 20:35:00,2025-05-04 20:35:00
FR 5145,RYR67WT,Departed,Ryanair,FR,RYR,SP-RZP,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 18:05:00,2025-05-04 18:05:00,Lamezia Terme,SUF,LICA,Europe/Rome,,
TK 1274,THY2FJ,Departed,Turkish,TK,THY,TC-JHS,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:15:00,2025-05-04 18:15:00,Istanbul,IST,LTFM,Europe/Istanbul,,
FR 2722,RYR552A,Departed,Ryanair,FR,RYR,SP-RZO,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:15:00,2025-05-04 18:15:00,Bari,BRI,LIBD,Europe/Rome,2025-05-04 20:10:00,
EC 4670,EJU39HN,Departed,EasyJet Europe,EC,EJU,OE-IJZ,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:30:00,2025-05-04 18:30:00,Paris,CDG,LFPG,Europe/Paris,2025-05-04 20:50:00,
U2 4670,EJU39HN,Departed,easyJet,U2,EZY,OE-IJZ,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:30:00,2025-05-04 18:30:00,Paris,CDG,LFPG,Europe/Paris,2025-05-04 20:50:00,
JU 159,ASL159,Departed,Air Serbia,JU,ASL,YU-ALY,ATR 72,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:30:00,2025-05-04 18:30:00,Belgrade,BEG,LYBE,Europe/Belgrade,2025-05-04 20:20:00,2025-05-04 20:08:00
LS 950,EXS92SG,Departed,Jet2,LS,EXS,9A-ABC,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 18:35:00,2025-05-04 18:35:00,Manchester,MAN,EGCC,Europe/London,2025-05-04 21:20:00,2025-05-04 21:20:00
FR 946,RYR946,Departed,Ryanair,FR,RYR,SP-RSR,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 19:20:00,2025-05-04 19:20:00,Vienna,VIE,LOWW,Europe/Vienna,2025-05-04 20:30:00,2025-05-04 20:18:00
DY 1039,NOZ1039,Departed,Norwegian Air Shuttle,DY,NOZ,LN-ENS,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 19:20:00,2025-05-04 19:20:00,Trondheim,TRD,ENVA,Europe/Oslo,2025-05-04 21:45:00,2025-05-04 21:41:00
